SerialNo,RawDisplacement,FilteredDisplacement
1,0.059,0.142695863152029
2,0.069,0.170394193108689
3,0.284,0.195708320718789
4,0.296,0.21863824598233
5,0.332,0.239183968899311
6,0.366,0.257345489469733
7,0.181,0.273122807693596
8,0.332,0.286515923570899
9,0.334,0.297524837101643
10,0.395,0.306149548285828
11,0.405,0.312390057123453
12,0.209,0.30551142373492
13,0.244,0.296834252864362
14,0.274,0.289726164070194
15,0.174,0.283766932047241
16,0.371,0.279342226328141
17,0.242,0.276743414386968
18,0.383,0.276057531880142
19,0.42,0.276691740637318
20,0.244,0.278326236371194
21,0.101,0.280264365250921
22,0.276,0.281406432123496
23,0.416,0.281932535303495
24,0.417,0.281946631542408
25,0.276,0.281294701368668
26,0.301,0.280710304897099
27,0.276,0.28095935751116
28,0.233,0.282525371511158
29,0.123,0.286025780030952
30,0.35,0.290605064883102
31,0.252,0.299962170950629
32,0.325,0.307507103688667
33,0.375,0.315687108195068
34,3.928,0.324308598337668
35,0.244,0.333046031800439
36,0.218,0.341528417349753
37,0.378,0.349408197453925
38,0.388,0.355900115092133
39,0.267,0.360806552709803
40,0.425,0.364388103485027
41,0.325,0.366518287700069
42,1.168,0.367168975301684
43,0.236,0.367294812094244
44,0.386,0.367412904012464
45,0.362,0.368434312345589
46,0.38,0.371811202628028
47,0.235,0.377085950898772
48,0.126,0.383296137755206
49,0.413,0.389856964039098
50,0.474,0.396823066272774
51,0.195,0.403737254624202
52,0.317,0.409026408275759
53,0.627,0.412335300665653
54,0.423,0.413883309735983
55,0.502,0.413314099597178
56,0.537,0.410453642354892
57,0.328,0.405203731241732
58,0.615,0.397645839992826
59,0.211,0.388707650713546
60,0.438,0.379161085819335
61,0.424,0.369598589255209
62,0.283,0.360953208907705
63,0.323,0.354091159304499
64,0.339,0.349478707954092
65,0.26,0.347897362144614
66,0.265,0.349970626526143
67,0.38,0.35480636138789
68,0.366,0.361625348576859
69,0.353,0.370199190503958
70,0.504,0.379951790065278
71,0.349,0.389383110409549
72,0.454,0.397536034365148
73,0.431,0.404843266785689
74,0.402,0.411255619412161
75,1.102,0.416498600669905
76,0.424,0.420465919544695
77,0.379,0.423415063251127
78,0.54,0.425948614967172
79,0.513,0.428299036866347
80,0.394,0.430770127536083
81,0.365,0.433463577726062
82,0.366,0.435897753029896
83,0.434,0.438060531341292
84,0.567,0.439785228469481
85,0.584,0.441575646213189
86,0.204,0.445407681120141
87,0.624,0.451101169255598
88,0.464,0.456679419520568
89,0.343,0.461829784505652
