SerialNo,Displacement_mm,Velocity_mm_min_filtered,Acceleration_mm_min2_filtered
1,0.346254812392584,8.13022980112107e-05,-1.16245972896796e-07
2,0.350420990299239,9.50223329346017e-05,-9.30065314314713e-08
3,0.354811310536228,0.000108331727826952,-7.12717797802451e-08
4,0.359425773103551,0.000121230482688261,-5.10417179431173e-08
5,0.364264378001208,0.000133718597518529,-3.23163459200879e-08
6,0.369327125229199,0.000145796072317756,-1.5095663711157e-08
7,0.374614014787525,0.000157462907085943,6.20328683675543e-10
8,0.380125046676184,0.000168719101823088,1.48316312644096e-08
9,0.385860220895177,0.000179564656529192,2.75382440310452e-08
10,0.391819537444504,0.000189999571204256,3.87401669835825e-08
11,0.398002996324165,0.000200023845848278,4.84374001220212e-08
12,0.394198091391958,0.000209637480461259,5.66299434463616e-08
13,0.398375629457909,0.0002188404750432,6.33177969566035e-08
14,0.40407914340719,0.000227632829594099,6.85009606527469e-08
15,0.412247782609556,0.000236014544113958,7.2179434534792e-08
16,0.421764042209945,0.000243985618602775,7.43532186027386e-08
17,0.432768375238468,0.000251546053060552,7.50223128565868e-08
18,0.44486433053797,0.000258695847487288,7.41867172963365e-08
19,0.4568667642385,0.000265435001882982,7.18464319219878e-08
20,0.468336432007613,0.000271763516247636,6.80014567335407e-08
21,0.478770044227926,0.000277681390581248,6.26517917309951e-08
22,0.488728322331679,0.00028318862488382,5.57974369143511e-08
23,0.497879865444952,0.000288285219155351,4.74383922836087e-08
24,0.504433571259678,0.000291890164010551,4.36679354367962e-08
25,0.507911580821967,0.00029678440831284,3.63560153380085e-08
26,0.509320606653928,0.000301422997411915,2.59629950166618e-08
27,0.509734216266679,0.000305800825659292,1.27760131657934e-08
28,0.509597286765044,0.00030904302992913,-3.08764391224744e-09
29,0.50973093165791,0.000311225772472613,-2.13936639422782e-08
30,0.510670424327292,0.000312843164367,-4.18000301989649e-08
31,0.512043247711188,0.000313998240643393,-6.40579890130678e-08
32,0.514283254470994,0.000314622021300517,-8.77428565699158e-08
33,0.517210814379681,0.000314652293876023,-1.12594341681801e-07
34,0.519961001024633,0.000314063108856224,-1.38999240638102e-07
35,0.522931285416218,0.000313339740770695,-1.6662390025473e-07
36,0.526555515874346,0.00031275455533542,-1.95137068536899e-07
37,0.530511823306372,0.000312104448608051,-2.24506654898813e-07
38,0.534798856927964,0.000311404987494878,-2.51199913793091e-07
39,0.539138871622764,0.000310896510596535,-2.78224937170482e-07
40,0.544037349115031,0.000310689160539287,-3.04474045414774e-07
41,0.549613915355704,0.000311105576853091,-3.26433810838119e-07
42,0.556343785330935,0.000312213048036865,-3.44833860034146e-07
