SerialNo,Displacement_mm,Velocity_mm_min_filtered,Acceleration_mm_min2_filtered
1,0.142695863152029,4.55697369130105e-05,-1.93047436732764e-08
2,0.170394193108689,3.5714686640549e-05,-1.15946649498483e-08
3,0.195708320718789,2.6546630770208e-05,-4.73186243141282e-09
4,0.21863824598233,1.80655693019876e-05,1.28366388203008e-09
5,0.239183968899311,1.02715022358878e-05,6.45191399048043e-09
6,0.257345489469733,3.1644295719085e-06,1.07728878939382e-08
7,0.273122807693596,-3.25564868995025e-06,1.42465855924034e-08
8,0.286515923570899,-8.98873254968846e-06,1.6873007085876e-08
9,0.297524837101643,-1.40348220073061e-05,1.86521523743561e-08
10,0.306149548285828,-1.83939170628032e-05,1.95840214578436e-08
11,0.312390057123453,-2.20660177161797e-05,1.96686143363385e-08
12,0.30551142373492,-2.50511239674357e-05,1.89059310098409e-08
13,0.296834252864362,-2.73492358165711e-05,1.72959714783507e-08
14,0.289726164070194,-2.8960353263586e-05,1.48387357418679e-08
15,0.283766932047241,-2.98844763084803e-05,1.15342238003925e-08
16,0.279342226328141,-3.01216049512541e-05,7.38243565392458e-09
17,0.276743414386968,-2.96717391919073e-05,2.38337130246414e-09
18,0.276057531880142,-2.853487903044e-05,-3.46296925398895e-09
19,0.276691740637318,-2.67110244668521e-05,-1.01565860154346e-08
20,0.278326236371194,-2.42001755011436e-05,-1.76974789818727e-08
21,0.280264365250921,-2.10023321333146e-05,-2.60856481533035e-08
22,0.281406432123496,-1.71174943633651e-05,-3.53210935297269e-08
23,0.281932535303495,-1.2545662191295e-05,-4.54038151111427e-08
24,0.281946631542408,-9.07028892403844e-06,-5.99873818818082e-08
25,0.281294701368668,-4.79323844704324e-06,-7.56791546127769e-08
26,0.280710304897099,5.29456284768205e-07,-9.20953684778382e-08
27,0.28095935751116,6.96106933409255e-06,-1.09624992407309e-07
28,0.282525371511158,1.45773823250161e-05,-1.26732899805008e-07
29,0.286025780030952,2.3364143686481e-05,-1.44494533676558e-07
30,0.290605064883102,3.31806212354986e-05,-1.67248781633606e-07
31,0.299962170950629,4.39282778176842e-05,-1.99305333284723e-07
32,0.307507103688667,5.55766495391404e-05,-2.35623635908221e-07
