SerialNo,RawDisplacement,FilteredDisplacement
1,89.95,91.844321618837
2,101.833,94.2995890367617
3,96.002,96.4038523225528
4,104.74,98.179009371695
5,103.566,99.6469580796732
6,102.164,100.829596341972
7,79.168,101.748822054076
8,96.567,102.426533111471
9,105.691,102.88462740964
10,134.748,103.399111781729
11,101.321,103.64030208761
12,92.088,102.767946143609
13,108.602,102.717077086415
14,113.179,101.912186216729
15,90.481,101.618375682224
16,118.606,101.078597661237
17,95.066,100.444641347429
18,105.283,99.7894244063019
19,94.563,99.1209639194391
20,93.167,98.3890910882186
21,125.842,97.9230510254274
22,82.872,97.9769869755295
23,104.87,98.1691395769717
24,105.178,98.2885940882809
25,82.468,97.723441122493
26,103.703,97.9106961157614
27,97.377,97.2567775646392
28,97.084,96.3670856319661
29,74.226,96.286110921323
30,119.393,95.3841912266722
31,89.231,95.2283668516984
32,93.12,94.5681986553979
33,102.376,93.9450737428231
34,85.458,93.3842977504906
35,74.113,92.9876263570827
36,95.156,92.9069111532594
37,106.775,93.2182530649698
38,76.418,93.8913186275111
39,96.243,94.8011041364524
40,79.87,95.8890620892307
41,102.151,97.1500517883703
42,92.9,98.4926290876622
43,85.39,99.844498011329
44,102.548,101.055780889805
45,113.124,101.941195594611
46,125.368,103.198479720917
47,108.756,103.466420722562
48,99.673,103.20509717133
49,113.267,102.406174869762
50,74.618,101.132910885201
51,104.192,99.5994440611965
52,88.236,98.0014574221612
53,87.753,96.3295539430842
54,100.342,95.3996352806003
55,135.493,94.236135844385
56,90.213,93.6395441906804
57,111.368,93.544045712031
58,78.022,93.8974899216372
59,94.553,94.6274777973896
60,72.375,95.9062760304116
61,74.792,97.3377989085942
62,102.768,98.8067321432063
63,101.487,99.0805150809792
64,105.536,99.2499129904485
65,138.645,98.9493646900272
66,90.472,98.2447809585265
67,100.771,97.2837678394623
68,88.784,96.186498531361
69,92.181,95.146760355347
70,107.088,94.5473892432204
71,93.483,93.5588816802945
72,84.719,93.3756061146873
73,91.918,93.6005428915448
74,106.955,94.230861336736
75,93.822,95.2126551491207
76,86.162,96.5144281849263
77,110.207,97.5716280409851
78,99.81,98.3328628144918
79,106.589,98.8859342586458
80,NaN,99.3407385114412
81,87.871,99.6002383500885
82,128.71,99.5638264156128
83,100.096,99.2766041028218
84,96.942,98.9436585190442
85,114.309,98.5628861204449
86,97.288,98.0131164302771
87,104.09,97.299631805682
88,NaN,96.3440352872353
89,87.737,95.2007144626584
90,115.065,94.1417866160496
91,94.663,93.2110273925886
92,84.949,92.4029534034153
93,85.816,91.7777159849657
94,114.339,91.1240117135889
95,88.775,90.5743561021198
96,95.711,90.7535332936798
97,84.193,91.6116041028922
98,NaN,92.6195057685793
99,93.584,93.7924721529028
100,106.317,95.2318152936567
101,93.795,96.7512999200734
102,73.315,98.1664717689601
103,99.048,99.8818045223945
104,NaN,100.899972265292
105,108.143,101.3059872265
106,111.315,101.34629682791
107,119.646,100.867400431905
108,89.061,99.8491254739341
109,91.066,98.4317856680526
110,78.027,96.1856160220029
111,100.952,94.5907431721776
112,112.947,93.1862279972001
113,83.123530596838,91.7451993584088
114,113.986,90.5354147941481
115,74.545,89.9978829085172
116,79.66,90.1429942007306
