SerialNo,RawDisplacement,FilteredDisplacement
1,0.372,0.344072020921945
2,0.369,0.348874428876723
3,0.456,0.35384399047113
4,0.407,0.358980705705167
5,0.232,0.364284574578833
6,0.495,0.36975559709213
7,0.758,0.375393773245057
8,0.423,0.381199103037613
9,0.323,0.387171586469799
10,0.393,0.393311223541615
11,0.357,0.399618014253061
12,0.42,0.406091958604137
13,0.378,0.412733056594843
14,0.318,0.419541308225179
15,0.421,0.420904531900805
16,0.28,0.427835599067732
17,0.542,0.435384727289668
18,0.518,0.444116900469655
19,0.195,0.45356438222795
20,0.611,0.463857511094659
21,0.491,0.473368002786461
22,0.334,0.481644207627566
23,0.527,0.489209674222194
24,0.341,0.495995681644149
25,0.347,0.501675890815302
26,0.635,0.506301924587963
27,0.838,0.509832198873932
28,0.524,0.512068321269599
29,0.548,0.513462888285432
30,0.411,0.514714084346082
31,0.246,0.515731536197318
32,0.478,0.516964037949748
33,0.619,0.518948214277094
34,0.53,0.52133573930632
35,0.29,0.524063828981476
36,0.49,0.527110935392125
37,0.605,0.5303570869304
38,0.531,0.534226698056192
39,0.563,0.539060779768453
40,0.407,0.544524116576287
41,0.705,0.550493635728205
42,0.574,0.556588647388262
43,0.52,0.562986312966226
44,0.777,0.569608422745594
45,0.526,0.576417568359776
46,0.757,0.582409486238825
47,0.5,0.587403388527711
48,0.389,0.59242050665439
49,0.585,0.597865105590182
50,0.693,0.6028916789008
51,0.617,0.606793140702558
52,0.657,0.609588106175419
53,0.335,0.610455791875404
54,0.678,0.609908586057677
55,0.658,0.60997494477541
56,0.621,0.610687455064422
57,0.624,0.611539005804624
58,0.553,0.612971916159728
59,0.637,0.615372167852041
60,0.611,0.618632236970629
61,0.594,0.622523357208121
62,0.469,0.626880818744594
63,0.646,0.631347542823074
64,0.779,0.635901334775138
65,0.583,0.640655179080233
66,0.531,0.645324177340912
67,0.772,0.64994946079375
68,0.583,0.654474996626081
69,0.667,0.657486707523056
70,0.829,0.659309341295829
71,0.735,0.662350243460095
