Step,Actual_Displacement,Predicted_Displacement,Residual
0,0.372,0.372,0.0
1,0.369,0.374,-0.0050000000000000044
2,0.456,0.376,0.08000000000000002
3,0.407,0.378,0.02899999999999997
4,0.232,0.38,-0.148
5,0.495,0.382,0.11299999999999999
6,0.758,0.384,0.374
7,0.423,0.386,0.03699999999999998
8,0.323,0.388,-0.065
9,0.393,0.39,0.0030000000000000027
10,0.357,0.392,-0.03500000000000003
11,0.42,0.394,0.025999999999999968
12,0.378,0.396,-0.018000000000000016
13,0.318,0.398,-0.08000000000000002
14,0.421,0.4,0.020999999999999963
15,0.28,0.402,-0.122
16,0.542,0.404,0.138
17,0.518,0.406,0.11199999999999999
18,0.195,0.40800000000000003,-0.21300000000000002
19,0.611,0.41000000000000003,0.20099999999999996
20,0.491,0.41200000000000003,0.07899999999999996
21,0.334,0.41400000000000003,-0.08000000000000002
22,0.527,0.41600000000000004,0.11099999999999999
23,0.341,0.41800000000000004,-0.07700000000000001
24,0.347,0.42000000000000004,-0.07300000000000006
25,0.635,0.42200000000000004,0.21299999999999997
26,0.838,0.42400000000000004,0.4139999999999999
27,0.524,0.42600000000000005,0.09799999999999998
28,0.548,0.42800000000000005,0.12
29,0.411,0.43000000000000005,-0.019000000000000072
30,0.246,0.43200000000000005,-0.18600000000000005
31,0.478,0.43400000000000005,0.04399999999999993
32,0.619,0.43600000000000005,0.18299999999999994
33,0.53,0.4382583599093377,0.09174164009066232
34,0.29,0.44026033858284186,-0.15026033858284188
35,0.49,0.4422623529471095,0.047737647052890464
36,0.605,0.4442644025889393,0.1607355974110607
37,0.531,0.4462664870159603,0.08473351298403975
38,0.563,0.4482686056531357,0.11473139434686425
39,0.407,0.45027075783933496,-0.04327075783933498
40,0.705,0.4522729428240004,0.2527270571759996
41,0.574,0.45427515976393534,0.11972484023606461
42,0.52,0.45627740772024383,0.06372259227975619
43,0.777,0.45827968565545263,0.3187203143445474
44,0.526,0.46028199243084994,0.06571800756915008
45,0.757,0.4622843268040757,0.2947156731959243
46,0.5,0.4642866874270011,0.03571331257299892
47,0.389,0.4662890728439358,-0.07728907284393577
48,0.585,0.46829148149020394,0.11670851850979602
49,0.693,0.47029391169113016,0.2227060883088698
50,0.617,0.4722963616614783,0.14470363833852168
51,0.657,0.47429882950538654,0.18270117049461349
52,0.335,0.4763014162193928,-0.1413014162193928
53,0.678,0.47830412878055106,0.19969587121944898
54,0.658,0.48030697466822336,0.17769302533177667
55,0.621,0.48230996190727016,0.13869003809272984
56,0.624,0.4843130991155361,0.1396869008844639
57,0.553,0.4863163955561154,0.06668360444388466
58,0.637,0.4883198611949393,0.1486801388050607
59,0.611,0.49032350676429876,0.12067649323570123
60,0.594,0.4923273438329924,0.10167265616700755
61,0.469,0.49433138488388023,-0.02533138488388026
62,0.646,0.49633564339972525,0.14966435660027477
63,0.779,0.49834013395832216,0.28065986604167786
64,0.583,0.5003448723380461,0.08265512766195382
65,0.531,0.5023498756351081,0.028650124364891894
66,0.772,0.5043551623939805,0.26764483760601954
67,0.583,0.5063607527526578,0.07663924724734217
68,0.667,0.5083666686046554,0.15863333139534463
69,0.829,0.5103729337799134,0.3186270662200865
70,0.735,0.5123795742470922,0.22262042575290775
71,0.709,0.5143866183401009,0.19461338165989905
72,0.659,0.5163940970121258,0.14260590298787423
73,0.745,0.5184020441209091,0.22659795587909093
74,0.634,0.5204104967495974,0.11358950325040262
75,0.587,0.5224194955681404,0.06458050443185959
76,0.646,0.5244290852409931,0.12157091475900694
77,0.654,0.5264393148877792,0.12756068511222085
78,0.649,0.5284502386046305,0.12054976139536955
79,0.792,0.5304619160551651,0.2615380839448349
80,0.735,0.5324744131415275,0.20252558685847244
81,0.261,0.5344878027676423,-0.2734878027676423
82,0.532,0.5365021657088693,-0.004502165708869299
83,0.215,0.5385175916046643,-0.3235175916046643
84,0.546,0.5405175916046643,0.005482408395335758
85,0.654,0.5425175916046643,0.11148240839533574
86,0.825,0.5445175916046643,0.28048240839533567
87,0.705,0.5465175916046643,0.15848240839533567
88,0.457,0.5485175916046643,-0.09151759160466427
89,0.825,0.5505175916046643,0.27448240839533566
90,0.75,0.5525175916046643,0.1974824083953357
91,0.916,0.5545175916046643,0.36148240839533574
92,0.552,0.5565175916046643,-0.004517591604664251
93,0.493,0.5585175916046643,-0.0655175916046643
94,0.696,0.5605175916046643,0.13548240839533565
95,0.43,0.5625175916046643,-0.1325175916046643
96,0.539,0.5645175916046643,-0.02551759160466427
97,0.543,0.5665175916046643,-0.023517591604664267
98,0.677,0.5685175916046643,0.10848240839533574
99,0.984,0.5705175916046643,0.4134824083953357
100,0.534,0.5725175916046643,-0.03851759160466428
101,0.667,0.5745175916046643,0.09248240839533572
102,0.592,0.5765175916046643,0.015482408395335656
103,0.734,0.5785175916046643,0.15548240839533567
104,0.433,0.5805175916046643,-0.14751759160466432
105,0.706,0.5825175916046643,0.12348240839533564
106,0.738,0.5845175916046643,0.15348240839533567
107,0.584,0.5865175916046643,-0.00251759160466436
108,0.519,0.5885175916046643,-0.06951759160466431
109,0.653,0.5905175916046643,0.0624824083953357
110,0.729,0.5925175916046643,0.13648240839533565
111,0.899,0.5945175916046643,0.3044824083953357
112,0.848,0.5965175916046643,0.25148240839533564
113,0.776,0.5985175916046643,0.1774824083953357
114,0.841,0.6005175916046643,0.24048240839533563
115,0.709,0.6025175916046643,0.10648240839533563
116,0.665,0.6045175916046643,0.060482408395335696
117,0.751,0.6065175916046643,0.14448240839533566
118,0.906,0.6110118769731413,0.29498812302685873
119,0.84,0.613031414466417,0.226968585533583
120,0.53,0.6150517724076664,-0.08505177240766637
121,0.837,0.6170729908385588,0.21992700916144114
122,0.471,0.619095112152074,-0.14809511215207405
123,0.877,0.62111818125833,0.25588181874167004
124,0.96,0.6234423101693173,0.3365576898306827
125,0.774,0.6254697709475738,0.1485302290524262
126,0.77,0.6274984299235254,0.14250157007647457
127,0.605,0.6295283488447745,-0.024528348844774506
128,0.9,0.6315595933210023,0.2684404066789977
129,0.774,0.6335922331139993,0.14040776688600076
130,0.82,0.6356263424530799,0.18437365754692003
131,0.796,0.6376620003784077,0.15833799962159234
132,0.894,0.6396992911150309,0.25430070888496914
133,0.861,0.6417383044807476,0.21926169551925234
134,0.923,0.6437791363312707,0.27922086366872934
135,0.698,0.6458218890465576,0.05217811095344238
136,0.977,0.6478666720626225,0.3291333279373775
137,0.791,0.6499136024536473,0.14108639754635277
138,0.752,0.6519628055697791,0.10003719443022085
139,0.771,0.6540144157366472,0.11698558426335282
140,0.862,0.6560685770233555,0.20593142297664446
141,0.946,0.6581254440865364,0.28787455591346356
142,0.717,0.6601851830989831,0.05681481690101686
143,0.956,0.6622479727724431,0.2937520272275569
144,0.869,0.6643140054853608,0.2046859945146392
145,0.864,0.6663834885277373,0.19761651147226267
146,2.23,0.6827724397042341,1.547227560295766
147,0.851,0.6848496905962441,0.16615030940375586
148,0.887,0.6869311167726126,0.20006888322738736
149,1.104,0.6890170004851333,0.41498299951486683
150,0.918,0.6911076474273178,0.22689235257268225
151,0.97,0.6932033890430136,0.2767966109569864
152,0.818,0.6953045850964816,0.12269541490351832
153,0.886,0.6974116265372935,0.18858837346270652
154,0.915,0.6995249386981306,0.21547506130186944
155,0.885,0.7016449848690307,0.1833550151309693
156,0.746,0.7037722702979475,0.04222772970205246
157,0.94,0.7059073466748187,0.23409265332518125
158,1.151,0.7080508171648462,0.44294918283515383
159,0.769,0.7102033420665987,0.058796657933401275
160,0.916,0.7123656451820762,0.2036343548179238
161,0.942,0.7145385209993512,0.22746147900064873
