feature,Phase0_importance,Phase1_importance,Phase2_importance,avg_importance
PorePressure,0.06786666666666667,0.08677552153198576,0.11902115931721195,0.09122111583862147
Rain_eff_09,0.06522222222222222,0.08982839169249272,0.08979374110953059,0.08161478500808185
Pore_roll_std_12h,0.0736,0.08767750589759009,0.0818589971550498,0.08104550101754664
Rain_eff_07,0.06004444444444444,0.06047920810398261,0.07654694167852064,0.06569019807564923
Micro_24h_cum,0.040266666666666666,0.0699616078449512,0.0806587837837838,0.06362901943180056
BlastDist_impact,0.05115555555555556,0.06341643924325825,0.06858997155049788,0.0610539887831039
Day_sin,0.06444444444444444,0.06383273971969101,0.03740665007112376,0.05522794474508641
Day_cos,0.07213333333333333,0.05261575466025256,0.035717460881934567,0.05348884962517348
Pore_diff6,0.04377777777777778,0.03853092187427726,0.05661006401137981,0.04630625455447828
BlastCharge_impact,0.04953333333333333,0.04368842222119432,0.04558588193456615,0.0462692124963646
Time_since_rain,0.04284444444444444,0.04211573153244831,0.048408605974395454,0.0444562606504294
Time_since_blast,0.046933333333333334,0.05444285119570748,0.02584903982930299,0.04240840811944794
BlastEnergy_decay_impact,0.038933333333333334,0.05555298579952819,0.025137802275960172,0.0398747071362739
Micro_24h_count,0.035222222222222224,0.04701882603265646,0.034139402560455195,0.03879348360511129
Rain_24h_sum,0.042777777777777776,0.019728017022063924,0.03718438833570412,0.03323006104518194
Micro_12h_count,0.041022222222222224,0.02479300615199593,0.027893847795163587,0.031236358723127248
Micro_6h_count,0.051666666666666666,0.03089874647300985,0.01091305120910384,0.031159488116260122
Rain_12h_sum,0.039,0.025209306628428695,0.020292496443812234,0.028167267690746973
Rain_6h_sum,0.022066666666666665,0.004694944261991767,0.013180120910384069,0.013313910613014167
Rain_6h_std,0.015822222222222224,0.009574910957953653,0.012468883357041253,0.012622005512405709
Pore_diff1,0.004,0.005226883759655858,0.024248755334281655,0.011158546364645838
Rain_3h_sum,0.020355555555555554,0.005689439844581156,0.003733997155049787,0.009926330851728832
Blast_interval,0.01108888888888889,0.015680651278967575,0.002644914651493599,0.009804818273116689
Microseismic,0.00015555555555555556,0.0018964799481937184,0.014935988620199148,0.005662674707982807
Micro_energy_sqrt,4.444444444444444e-05,0.0005550673019103566,0.0034672830725462306,0.0013555982729670105
Rainfall,0.0,0.0,0.002533783783783784,0.0008445945945945946
Pore_Rain,0.0,0.0,0.0006890113798008535,0.00022967045993361784
Micro_energy_sq,2.222222222222222e-05,0.00011563902123132431,0.0004889758179231863,0.0002089456871255776
Blast_PPV,0.0,0.0,0.0,0.0
Blast_Energy,0.0,0.0,0.0,0.0
